Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Daily_Return_%,Price_Range
2025-09-26,428.3,440.47,421.02,440.4,101628200,0.0,0.0,TSLA,2.83,19.45
2025-09-29,444.35,450.98,439.5,443.21,79491500,0.0,0.0,TSLA,-0.26,11.48
2025-09-30,441.52,445.0,433.12,444.72,74358000,0.0,0.0,TSLA,0.72,11.88
2025-10-01,443.8,462.29,440.75,459.46,98122300,0.0,0.0,TSLA,3.53,21.54
2025-10-02,470.54,470.75,435.57,436.0,137009000,0.0,0.0,TSLA,-7.34,35.18
2025-10-03,443.29,446.77,416.58,429.83,133188200,0.0,0.0,TSLA,-3.04,30.19
2025-10-06,440.75,453.55,436.69,453.25,85324900,0.0,0.0,TSLA,2.84,16.86
2025-10-07,447.82,452.68,432.45,433.09,102296100,0.0,0.0,TSLA,-3.29,20.23
2025-10-08,437.57,441.33,425.23,438.69,71192100,0.0,0.0,TSLA,0.26,16.1
2025-10-09,431.81,436.35,426.18,435.54,69339900,0.0,0.0,TSLA,0.86,10.17
2025-10-10,436.54,443.13,411.45,413.49,112107900,0.0,0.0,TSLA,-5.28,31.68
2025-10-13,423.53,436.89,419.7,435.9,79552800,0.0,0.0,TSLA,2.92,17.19
2025-10-14,426.79,434.2,417.86,429.24,72669400,0.0,0.0,TSLA,0.57,16.34
2025-10-15,434.9,440.51,426.33,435.15,71558200,0.0,0.0,TSLA,0.06,14.18
2025-10-16,434.73,439.35,421.31,428.75,77189900,0.0,0.0,TSLA,-1.38,18.04
2025-10-17,425.5,441.46,423.6,439.31,89331600,0.0,0.0,TSLA,3.25,17.86
2025-10-20,443.87,449.8,440.61,447.43,63719000,0.0,0.0,TSLA,0.8,9.19
2025-10-21,445.76,449.3,442.05,442.6,54412200,0.0,0.0,TSLA,-0.71,7.25
2025-10-22,443.45,445.54,429.0,438.97,84023500,0.0,0.0,TSLA,-1.01,16.54
2025-10-23,420.0,449.4,413.9,448.98,126709800,0.0,0.0,TSLA,6.9,35.5
2025-10-24,446.83,451.68,430.17,433.72,94727800,0.0,0.0,TSLA,-2.93,21.51
2025-10-27,439.98,460.16,438.69,452.42,105867500,0.0,0.0,TSLA,2.83,21.47
2025-10-28,454.78,467.0,451.6,460.55,80185700,0.0,0.0,TSLA,1.27,15.4
2025-10-29,462.5,465.7,452.65,461.51,67983500,0.0,0.0,TSLA,-0.21,13.05
2025-10-30,451.05,455.06,439.61,440.1,72447900,0.0,0.0,TSLA,-2.43,15.45
2025-10-31,446.75,458.0,443.69,456.56,83135800,0.0,0.0,TSLA,2.2,14.31
